timestamp,trip.tripId,trip.startTime,trip.startDate,trip.routeId,position.latitude,position.longitude,position.bearing,position.speed,vehicle.id,vehicle.licensePlate
1737334486,weekday_U8510_U851002_0,08:16:16,20250120,U8510,3.171917,101.67233,16.0,27.78,WVA5843,WVA5843
1737334490,weekday_U1730_U173002_3,07:45:00,20250120,U1730,3.147433,101.69383,0.0,0.0,WVB4123,WVB4123
1737334488,weekday_U1730_U173001_2,08:08:18,20250120,U1730,3.215967,101.686165,94.0,18.52,WVC3796,WVC3796
1737334480,weekday_U4000_U400002_0,07:48:10,20250120,U4000,3.129167,101.72,300.0,24.08,WVB3741,WVB3741
1737334456,weekday_U8210_U821002_1,08:34:46,20250120,U8210,3.1301,101.68384,120.0,3.7,WVA5861,WVA5861
1737334474,weekday_S0070_S007002_0,06:00:09,20250120,S0070,3.262811,101.646416,63.2,52.78,WB6530S,WB6530S
1737334450,weekday_U4000_U400002_0,06:37:24,20250120,U4000,3.05517,101.73786,342.1,30.56,WA2845G,WA2845G
1737334492,weekday_U6000_U600002_9,08:42:09,20250120,U6000,3.007255,101.61123,357.0,8.33,WQC702,WQC702
1737334492,weekday_U3000_U300002_4,08:28:01,20250120,U3000,3.151284,101.7605,304.7,5.37,VGL1376,VGL1376
1737334480,weekday_U6000_U600001_7,08:45:27,20250120,U6000,3.11979,101.67944,178.7,15.37,WWC4624,WWC4624
1737334487,weekday_S4020_S402002_1,07:44:48,20250120,S4020,3.075783,101.54634,0.0,31.48,WQB3109,WQB3109
1737334499,weekday_U4500_U450002_2,07:51:29,20250120,U4500,3.084433,101.74177,358.7,13.52,VHB3371,VHB3371
1737334478,weekday_S4100_S410002_2,08:13:17,20250120,S4100,3.112296,101.525246,39.09,61.28,WVC6461,WVC6461
1737334458,weekday_U3030_U303002_1,07:46:48,20250120,U3030,3.1564,101.7055,0.0,0.0,WVP2448,WVP2448
1737334456,weekday_U7720_U772002_5,08:30:56,20250120,U7720,3.143404,101.545166,161.0,49.63,VFE4091,VFE4091
1737334453,weekday_T2510_T251002_1,08:33:13,20250120,T2510,3.190867,101.73499,0.0,0.0,WVN5531,WVN5531
1737334468,weekday_U1800_U180001_3,08:32:59,20250120,U1800,3.189833,101.691,353.0,44.45,WUX5843,WUX5843
1737334462,weekday_U2000_U200002_0,07:51:53,20250120,U2000,3.18405,101.702,169.0,7.41,WVA4152,WVA4152
1737334486,weekday_U3030_U303002_1,08:46:19,20250120,U3030,3.143286,101.781105,290.29,22.04,WVN7754,WVN7754
1737334460,weekday_P1010_P101002_1,08:30:00,20250120,P1010,2.895233,101.674,0.0,0.0,WC4206F,WC4206F
1737334465,weekday_U1730_U173002_3,08:17:55,20250120,U1730,3.213267,101.68234,0.0,0.0,WB4987K,WB4987K
1737334485,weekday_U1730_U173002_3,08:00:10,20250120,U1730,3.194441,101.6798,168.4,8.33,W3607T,W3607T
1737334462,weekday_T2500_T250002_1,08:44:52,20250120,T2500,3.211533,101.72083,186.0,25.93,WUW8429,WUW8429
1737334465,weekday_P1060_P106002_1,08:10:00,20250120,P1060,2.91415,101.693,80.0,53.71,WB9172J,WB9172J
1737334474,weekday_T5810_T581002_0,08:33:34,20250120,T5810,3.03595,101.67433,91.0,37.04,WB3643M,WB3643M
1737334472,weekday_U2500_U250001_13,08:04:32,20250120,U2500,3.208867,101.73801,151.0,42.6,WC7313H,WC7313H
1737334485,weekday_U5800_U580002_0,07:31:38,20250120,U5800,3.131248,101.7174,127.7,8.89,WVC3514,WVC3514
1737334465,weekday_U2200_U220001_1,07:45:55,20250120,U2200,3.16945,101.7285,206.0,22.22,WVA4166,WVA4166
1737334473,weekday_U1710_U171001_2,08:24:34,20250120,U1710,3.172233,101.69201,314.0,38.89,WUW5264,WUW5264
1737334471,weekday_T2500_T250002_1,08:48:31,20250120,T2500,3.20525,101.731674,0.0,0.0,WUW2519,WUW2519
1737334471,weekday_P0050_P005002_0,08:04:04,20250120,P0050,3.13235,101.618004,270.0,25.93,WQB3097,WQB3097
1737334476,weekday_U2500_U250001_13,08:18:36,20250120,U2500,3.213933,101.729836,0.0,0.0,WVL614,WVL614
1737334467,weekday_S1070_S107002_1,08:34:57,20250120,S1070,3.055133,101.75916,350.0,29.63,WB792L,WB792L
1737334478,weekday_S4100_S410002_2,08:33:09,20250120,S4100,3.144584,101.53464,134.6,18.89,WVA2986,WVA2986
1737334465,weekday_U2000_U200002_0,06:51:55,20250120,U2000,3.2458,101.73317,0.0,0.0,WVA4147,WVA4147
1737334470,weekday_T5800_T580002_1,08:05:00,20250120,T5800,3.0595,101.69266,0.0,0.0,WC3844G,WC3844G
1737334491,weekday_T7800_T780002_1,08:33:21,20250120,T7800,3.129083,101.60034,240.0,20.37,WC5319A,WC5319A
1737334497,weekday_S4030_S403002_3,08:52:43,20250120,S4030,3.047569,101.52622,89.7,42.78,WVA3032,WVA3032
1737334472,weekday_S1490_S149002_2,08:04:32,20250120,S1490,3.255483,101.65483,0.0,0.0,WB6510S,WB6510S
1737334461,weekday_T6400_T640002_3,08:31:51,20250120,T6400,3.07975,101.661835,0.0,0.0,WVH7912,WVH7912
1737334477,weekday_U1510_U151001_0,07:18:08,20250120,U1510,3.25555,101.65483,0.0,0.0,WB7436K,WB7436K
1737334491,weekday_T2000_T200002_0,08:30:51,20250120,T2000,3.245467,101.7365,252.0,48.15,WWF2843,WWF2843
1737334471,weekday_S2030_S203002_1,08:41:04,20250120,S2030,3.06405,101.632164,222.0,11.11,WB8441H,WB8441H
1737334458,weekday_T7860_T786002_0,08:33:59,20250120,T7860,3.127692,101.63006,157.5,0.0,WVH1758,WVH1758
1737334455,weekday_T3510_T351002_1,08:00:23,20250120,T3510,3.127874,101.75078,348.6,8.69,W4860W,W4860W
1737334473,weekday_S0131_S013102_0,08:45:34,20250120,S0131,3.123078,101.46846,117.8,37.58,PLA2875,PLA2875
1737334495,weekday_U7510_U751001_0,07:50:16,20250120,U7510,3.030639,101.54044,289.2,18.32,W7743T,W7743T
1737334485,weekday_U6510_U651002_0,08:05:02,20250120,U6510,3.070861,101.67256,229.1,0.0,WVG2429,WVG2429
1737334441,weekday_U3000_U300002_1,07:09:57,20250120,U3000,3.152078,101.75944,110.5,8.52,WC7343F,WC7343F
1737334460,weekday_U7510_U751001_1,08:45:06,20250120,U7510,3.130267,101.68381,309.79,0.0,WA1675G,WA1675G
1737334473,weekday_U6000_U600002_9,08:25:00,20250120,U6000,3.061318,101.64575,56.8,22.78,VGH4653,VGH4653
1737334473,weekday_S0070_S007002_0,07:45:33,20250120,S0070,3.246917,101.72816,57.0,55.56,WB2734T,WB2734T
1737334467,weekday_S1190_S119002_5,08:31:27,20250120,S1190,3.309933,101.58317,316.0,25.93,WB6419M,WB6419M
1737334475,weekday_U6400_U640001_4,08:45:12,20250120,U6400,3.12796,101.683495,219.2,24.26,WPY4630,WPY4630
1737334482,weekday_U1510_U151001_1,08:31:49,20250120,U1510,3.187972,101.681496,341.2,7.22,WA5036G,WA5036G
1737334475,weekday_U3000_U300002_4,08:15:33,20250120,U3000,3.159417,101.744484,292.5,8.69,VER7240,VER7240
1737334465,weekday_U1730_U173002_4,08:45:41,20250120,U1730,3.250504,101.68071,67.6,19.63,W4986V,W4986V
1737334474,weekday_U2200_U220002_2,07:47:04,20250120,U2200,3.146767,101.696,0.0,0.0,WVA4421,WVA4421
1737334472,weekday_S1030_S103002_0,08:31:32,20250120,S1030,3.141067,101.7695,182.0,37.04,WVN7821,WVN7821
1737334487,weekday_U5800_U580002_0,07:00:09,20250120,U5800,3.083666,101.71125,74.0,11.11,WVG2397,WVG2397
1737334479,weekday_P1040_P104002_0,08:51:39,20250120,P1040,2.895333,101.67417,230.0,9.26,WB9433J,WB9433J
1737334486,weekday_U7510_U751002_2,07:49:38,20250120,U7510,3.086042,101.62425,61.6,40.19,WPL3858,WPL3858
1737334486,weekday_U2020_U202001_3,08:20:00,20250120,U2020,3.23085,101.71216,324.0,42.6,WVB6074,WVB6074
1737334492,weekday_U8210_U821002_1,07:57:06,20250120,U8210,3.102667,101.666504,88.0,16.67,WVC4047,WVC4047
1737334483,weekday_U6400_U640001_3,08:09:54,20250120,U6400,3.075265,101.64611,265.1,14.82,VGF4516,VGF4516
1737334482,weekday_T3030_T303002_0,08:31:22,20250120,T3030,3.1408,101.74634,269.0,20.37,SF20004,SF20004
1737334476,weekday_T2010_T201001_3,08:44:36,20250120,T2010,3.240033,101.69933,0.0,0.0,WPV4564,WPV4564
1737334441,weekday_U4000_U400002_0,06:48:59,20250120,U4000,3.053786,101.7467,358.9,7.96,SF2113531,SF2113531
1737334482,weekday_P1050_P105002_0,08:32:42,20250120,P1050,2.938683,101.686165,40.0,35.19,WC7259F,WC7259F
1737334477,weekday_U7510_U751002_3,08:20:38,20250120,U7510,3.078038,101.564224,70.19,27.22,W2758T,W2758T
1737334488,weekday_P1080_P108002_0,08:31:48,20250120,P1080,2.94105,101.68734,260.0,59.26,SF20262,SF20262
1737334454,weekday_U2500_U250001_16,08:54:14,20250120,U2500,3.147367,101.696335,288.0,12.96,WPA4809,WPA4809
1737334453,weekday_U5900_U590002_3,08:22:13,20250120,U5900,3.029983,101.76116,249.0,31.48,WVN5548,WVN5548
1737334450,weekday_U2500_U250002_17,08:28:15,20250120,U2500,3.188588,101.70469,224.7,0.0,WQA1929,WQA1929
1737334478,weekday_T7910_T791002_1,08:33:04,20250120,T7910,3.108407,101.66629,272.6,5.93,WUW4140,WUW4140
1737334478,weekday_S0030_S003002_1,08:21:09,20250120,S0030,2.994067,101.78633,0.0,0.0,WB915L,WB915L
1737334457,weekday_U6000_U600002_7,07:36:06,20250120,U6000,3.111481,101.678154,1.7,25.0,WPB1437,WPB1437
1737334456,weekday_U7700_U770001_1,08:33:46,20250120,U7700,3.114517,101.6605,243.0,16.67,WC4490H,WC4490H
1737334472,weekday_T7870_T787002_0,08:31:36,20250120,T7870,3.117843,101.630486,226.4,8.52,WVA2965,WVA2965
1737334435,weekday_T6010_T601002_1,08:31:54,20250120,T6010,2.989655,101.59497,182.9,26.3,WVL743,WVL743
1737334464,weekday_U2200_U220002_3,08:15:27,20250120,U2200,3.167933,101.70967,0.0,0.0,WUU6711,WUU6711
1737334460,weekday_U1700_U170002_2,07:37:21,20250120,U1700,3.180517,101.69834,261.0,24.08,WB4472S,WB4472S
1737334464,weekday_U6500_U650002_2,08:40:00,20250120,U6500,3.10885,101.68684,0.0,0.0,WB3644K,WB3644K
1737334476,weekday_U3000_U300002_2,07:20:33,20250120,U3000,3.160216,101.72231,110.1,11.48,VEU6298,VEU6298
1737334469,weekday_U7720_U772002_4,08:01:07,20250120,U7720,3.083382,101.60428,88.9,40.56,WVP2440,WVP2440
1737334458,weekday_S6060_S606002_0,08:40:38,20250120,S6060,3.056045,101.672806,72.1,5.0,VGJ8334,VGJ8334
1737334479,weekday_U7510_U751002_2,07:41:14,20250120,U7510,3.102683,101.63929,57.2,8.52,W7083Q,W7083Q
1737334489,weekday_T4500_T450002_1,07:42:12,20250120,T4500,2.996253,101.78758,355.5,8.15,WVP2467,WVP2467
1737334473,weekday_U4200_U420002_2,08:01:03,20250120,U4200,3.143533,101.71151,69.0,29.63,WB5634U,WB5634U
1737334465,weekday_U2000_U200002_0,07:29:55,20250120,U2000,3.193317,101.7055,358.0,44.45,WVD4945,WVD4945
1737334475,weekday_U2500_U250001_14,08:25:01,20250120,U2500,3.214005,101.727425,60.1,19.63,WQA1342,WQA1342
1737334464,weekday_U1730_U173001_2,08:33:12,20250120,U1730,3.172088,101.6923,323.5,30.17,WA3648G,WA3648G
1737334464,weekday_S0040_S004002_1,08:32:05,20250120,S0040,3.204247,101.75191,1.7,32.41,WVP2493,WVP2493
1737334465,weekday_P1080_P108002_0,08:11:32,20250120,P1080,2.933446,101.67292,173.8,18.71,WC5698K,WC5698K
1737334490,weekday_P1010_P101002_1,08:50:21,20250120,P1010,2.93455,101.691505,237.0,38.89,WB5366X,WB5366X
1737334490,weekday_T7890_T789002_1,08:26:31,20250120,T7890,3.10853,101.66642,90.5,7.41,WUT8497,WUT8497
1737334476,weekday_S1040_S104002_0,08:31:45,20250120,S1040,3.131082,101.76284,316.1,6.85,WVJ8170,WVJ8170
1737334486,weekday_T6040_T604002_2,08:11:32,20250120,T6040,3.066312,101.639046,91.3,15.74,WVP2513,WVP2513
1737334487,weekday_S2000_S200002_1,08:41:52,20250120,S2000,3.078318,101.58584,337.6,62.41,WB4408N,WB4408N
1737334494,weekday_P1030_P103002_0,08:33:14,20250120,P1030,2.944433,101.707664,0.0,0.0,SF21452,SF21452
1737334478,weekday_S0070_S007002_0,08:31:08,20250120,S0070,3.239033,101.64616,102.0,20.37,WPY7751,WPY7751
