timestamp,trip_id,start_time,start_date,route_id,latitude,longitude,bearing,speed,vehicle_id,license_plate
2025-01-21 20:32:12,weekday_U5900_U590002_14,19:34:13,20250121,U5900,3.140105,101.7092,316.5,30.17,WVJ1043,WVJ1043
2025-01-21 20:31:37,weekday_U2200_U220002_6,19:15:07,20250121,U2200,3.147083,101.69533,0.0,0.0,WVC6421,WVC6421
2025-01-21 20:31:19,weekday_T2000_T200002_2,20:03:19,20250121,T2000,3.231467,101.72417,162.0,11.11,WWF2843,WWF2843
2025-01-21 20:32:04,weekday_U1710_U171001_9,19:22:04,20250121,U1710,3.249883,101.683174,0.0,0.0,WVE7257,WVE7257
2025-01-21 20:32:04,weekday_U1730_U173001_5,19:26:05,20250121,U1730,3.2525,101.67516,330.0,24.08,WVH6234,WVH6234
2025-01-21 20:32:09,weekday_U1900_U190001_8,20:15:09,20250121,U1900,3.176367,101.688,0.0,0.0,WVA4412,WVA4412
2025-01-21 20:32:06,weekday_U1700_U170002_5,19:08:37,20250121,U1700,3.245717,101.69949,359.0,25.93,WVD4971,WVD4971
2025-01-21 20:31:54,weekday_S0070_S007002_5,18:40:25,20250121,S0070,3.230983,101.72383,0.0,0.0,WPY7751,WPY7751
2025-01-21 20:31:45,weekday_S0070_S007002_5,19:41:45,20250121,S0070,3.236267,101.70067,0.0,0.0,WB5638Q,WB5638Q
2025-01-21 20:31:58,weekday_U6000_U600001_19,19:39:37,20250121,U6000,3.058067,101.63738,263.0,57.41,VGF8476,VGF8476
2025-01-21 20:32:23,weekday_U6400_U640001_6,19:59:56,20250121,U6400,3.084938,101.672966,220.0,22.78,WNV6530,WNV6530
2025-01-21 20:32:53,weekday_U2020_U202001_8,19:40:00,20250121,U2020,3.249533,101.683174,0.0,0.0,WUU6734,WUU6734
2025-01-21 20:32:46,weekday_U7700_U770001_3,20:31:56,20250121,U7700,3.143125,101.69471,192.6,33.34,WQC710,WQC710
2025-01-21 20:32:43,weekday_U2500_U250001_20,20:13:07,20250121,U2500,3.1836,101.70202,3.2,26.3,WUW1483,WUW1483
2025-01-21 20:32:09,weekday_U6000_U600001_19,19:19:08,20250121,U6000,2.991387,101.61364,150.5,20.74,VGJ8305,VGJ8305
2025-01-21 20:32:22,weekday_U6000_U600001_21,20:25:39,20250121,U6000,3.13157,101.68903,234.4,5.0,VGK1736,VGK1736
2025-01-21 20:31:56,weekday_S2020_S202002_4,19:34:56,20250121,S2020,3.059183,101.61416,158.0,44.45,WB856L,WB856L
2025-01-21 20:32:38,weekday_U4000_U400002_3,19:02:21,20250121,U4000,3.133829,101.71411,138.6,8.33,W3447S,W3447S
2025-01-21 20:32:33,weekday_S1390_S139002_7,20:00:00,20250121,S1390,3.243367,101.53299,157.0,42.6,WB7246P,WB7246P
2025-01-21 20:32:59,weekday_S4030_S403002_8,20:12:31,20250121,S4030,3.043556,101.51436,234.6,7.76,WVD3307,WVD3307
2025-01-21 20:32:35,weekday_U5900_U590002_15,20:01:35,20250121,U5900,3.083917,101.69666,327.0,35.19,WB8743F,WB8743F
2025-01-21 20:32:31,weekday_U6500_U650002_11,19:29:35,20250121,U6500,3.1324,101.68734,51.0,11.11,WB824L,WB824L
2025-01-21 20:32:01,weekday_U4200_U420002_5,18:29:51,20250121,U4200,3.132804,101.760185,276.29,0.0,WPB3209,WPB3209
2025-01-21 20:32:40,weekday_S2000_S200002_1,20:03:08,20250121,S2000,3.078318,101.58607,152.3,28.89,WB4408N,WB4408N
2025-01-21 20:32:39,weekday_U3000_U300002_8,19:00:48,20250121,U3000,3.157266,101.75106,116.5,8.33,VFH8704,VFH8704
2025-01-21 20:32:52,weekday_S1140_S114002_2,20:23:10,20250121,S1140,3.119865,101.751366,11.8,20.93,WVE5068,WVE5068
2025-01-21 20:32:44,weekday_U6000_U600001_19,19:48:32,20250121,U6000,3.070432,101.65664,231.7,9.07,VGH4674,VGH4674
2025-01-21 20:32:51,weekday_U6400_U640001_7,20:22:12,20250121,U6400,3.124146,101.683365,249.2,34.08,VGY9558,VGY9558
2025-01-21 20:32:28,weekday_U4000_U400002_2,17:31:12,20250121,U4000,3.054671,101.74463,266.1,0.0,WNV5678,WNV5678
2025-01-21 20:32:46,weekday_S4080_S408002_11,19:31:10,20250121,S4080,3.036309,101.55539,101.5,28.15,WQC2646,WQC2646
2025-01-21 20:31:52,weekday_T3510_T351002_2,19:30:07,20250121,T3510,3.136548,101.75459,290.1,0.0,WVJ1049,WVJ1049
2025-01-21 20:32:02,weekday_U4200_U420002_6,19:12:54,20250121,U4200,3.128625,101.73255,108.7,0.0,VFH1693,VFH1693
2025-01-21 20:32:37,weekday_U2020_U202002_9,19:59:07,20250121,U2020,3.1796,101.70083,204.0,61.12,WUW2542,WUW2542
2025-01-21 20:32:53,weekday_P0030_P003002_2,20:19:43,20250121,P0030,3.095854,101.60669,89.4,27.41,WA2849M,WA2849M
2025-01-21 20:32:52,weekday_P0060_P006002_3,20:30:01,20250121,P0060,3.149793,101.61611,28.1,12.04,WB6746M,WB6746M
2025-01-21 20:32:25,weekday_P0010_P001001_16,20:13:25,20250121,P0010,3.086717,101.64966,0.0,0.0,WA7197M,WA7197M
2025-01-21 20:32:50,weekday_U6400_U640001_7,20:10:18,20250121,U6400,3.100092,101.6765,194.2,8.52,VGF4516,VGF4516
